pool	acc	p_sng	universe	strategy	min_dist	mean_dist	kl_min	heldout	p_donor	ll_gap_mean	ll_gap_p5	n_snps_med	err_per_1k	modality
AMR_only__greedy_maxmean__rep2	0.8396098283738733	0.8405976046425485	AMR_only	greedy_maxmean	97.27281	118.112206	1.6340297	True	0.9988249118683902	10.11564189189189	-0.83	2785.0	1.175088131609825	gex
AMR_only__greedy_maxmean__rep3	0.8466477342881837	0.8472650944561056	AMR_only	greedy_maxmean	99.05049	117.412926	1.6942998	False	0.9992713494607987	10.660816088603907	-0.7	2772.0	0.7286505392013476	gex
AMR_only__greedy_maxmin__rep1	0.8564020249413508	0.8570193851092728	AMR_only	greedy_maxmin	109.18791	114.72202	2.0588567	False	0.9992796427027806	9.801551649618212	-0.85	2796.0	0.7203572972194205	gex
AMR_only__greedy_maxmin__rep2	0.8484998147919496	0.849240646993456	AMR_only	greedy_maxmin	110.78357	115.70595	2.119472	False	0.9991276533876127	9.63695987205583	-0.82	2796.0	0.8723466123873314	gex
AMR_only__greedy_maxmin__rep3	0.8470181503889369	0.8475120385232745	AMR_only	greedy_maxmin	111.108055	114.90014	2.1319063	True	0.9994172494172494	10.417824883449883	-0.7069999999999993	2784.0	0.5827505827505908	gex
AMR_only__random__rep1	0.8530682800345721	0.8536856402024942	AMR_only	random	99.944984	108.27232	1.7250395	False	0.9992768296210587	9.907201330633496	-0.67	2788.5	0.723170378941318	gex
AMR_only__random__rep2	0.844548709717249	0.8452895419187554	AMR_only	random	103.71596	107.51616	1.8576682	False	0.9991235758106923	9.83258691206544	-0.73	2803.0	0.8764241893076674	gex
AMR_only__random__rep3	0.8559081368070132	0.8564020249413508	AMR_only	random	95.01053	108.602104	1.5589077	False	0.9994232987312572	10.07550461361015	-0.7	2794.0	0.5767012687427631	gex
EAS_only__adversarial_mindist__rep1	0.8333127546610692	0.8351648351648352	EAS_only	adversarial_mindist	92.89779663085938	95.63932037353516	1.169398069381714	False	0.9977823772915435	8.013837965700768	-0.92	2813.0	2.2176227084564903	gex
EAS_only__adversarial_mindist__rep2	0.8508457834300531	0.8520805037658971	EAS_only	adversarial_mindist	90.65869903564452	94.51172637939452	1.152632474899292	True	0.9985509346471526	7.861920011592523	-0.9	2778.0	1.4490653528473896	gex
EAS_only__adversarial_mindist__rep3	0.8398567724410421	0.841091492776886	EAS_only	adversarial_mindist	90.57593536376952	95.3362274169922	1.115867257118225	False	0.9985320023487962	7.981470933646506	-0.92	2814.0	1.4679976512037562	gex
EAS_only__greedy_maxkl__rep1	0.8534386961353253	0.8544264724040005	EAS_only	greedy_maxkl	105.17604064941406	108.05689239501952	1.482422113418579	True	0.9988439306358381	8.342426300578035	-0.89	2778.0	1.1560693641619046	gex
EAS_only__greedy_maxkl__rep2	0.8483763427583653	0.8497345351277935	EAS_only	greedy_maxkl	102.90287017822266	105.93866729736328	1.4526095390319824	False	0.9984016274338855	8.279617843650103	-0.86	2804.5	1.5983725661145032	gex
EAS_only__greedy_maxkl__rep3	0.8480059266576121	0.849240646993456	EAS_only	greedy_maxkl	104.01441955566406	107.6406021118164	1.4437906742095947	False	0.9985460889793545	8.351286711253271	-0.8914999999999997	2786.5	1.4539110206455153	gex
EAS_only__greedy_maxmean__rep1	0.8282504012841091	0.8296085936535375	EAS_only	greedy_maxmean	101.04949	108.488594	1.7633773	False	0.9983628516148236	8.088938830183062	-0.98	2791.0	1.637148385176368	gex
EAS_only__greedy_maxmean__rep2	0.8409680207433017	0.8419557970119768	EAS_only	greedy_maxmean	101.862656	107.79176	1.7918719	False	0.9988268074497727	8.06743950725913	-0.96	2781.0	1.1731925502272977	gex
EAS_only__greedy_maxmean__rep3	0.8536856402024942	0.8543030003704161	EAS_only	greedy_maxmean	102.86399	107.9199	1.8272742	False	0.9992773522185286	8.208512790865731	-0.9	2789.0	0.7226477814713528	gex
EAS_only__greedy_maxmin__rep1	0.8431905173478207	0.8440548215829115	EAS_only	greedy_maxmin	105.17604	108.05689	1.9103398	False	0.9989760093622001	8.426435049736687	-0.99	2787.5	1.0239906377998986	gex
EAS_only__greedy_maxmin__rep2	0.8543030003704161	0.8554142486726757	EAS_only	greedy_maxmin	102.90287	105.93867	1.8286557	False	0.9987009237875288	8.465848729792148	-0.93	2791.5	1.299076212471162	gex
EAS_only__greedy_maxmin__rep3	0.858377577478701	0.8594888257809606	EAS_only	greedy_maxmin	104.01442	107.6406	1.8683752	True	0.9987070823157592	8.376111190920845	-0.87	2810.0	1.2929176842407797	gex
