pool	universe	strategy	modality	bottleneck_donor	btl_n_cells	btl_ll_gap	min_dist	mean_dist	kl_min	kl_mean
SAS_only__adversarial_mindist__rep2	SAS_only	adversarial_mindist	atac	HG04173	900	25.389533333333336	99.48869323730467	101.62850189208984	1.3709405660629272	1.434191107749939
SAS_only__adversarial_mindist__rep2	SAS_only	adversarial_mindist	gex	HG04153	861	8.560499419279907	99.48869323730467	101.62850189208984	1.3709405660629272	1.434191107749939
SAS_only__greedy_maxkl__rep1	SAS_only	greedy_maxkl	atac	HG04216	889	25.412047244094488	114.44212341308594	123.1100082397461	1.7993216514587402	2.0306551456451416
SAS_only__greedy_maxkl__rep1	SAS_only	greedy_maxkl	gex	HG04017	908	9.02272026431718	114.44212341308594	123.1100082397461	1.7993216514587402	2.0306551456451416
SAS_only__greedy_maxmean__rep1	SAS_only	greedy_maxmean	atac	HG02597	895	25.157340782122905	113.26959	123.90059	2.2156625	2.6552427
SAS_only__greedy_maxmean__rep1	SAS_only	greedy_maxmean	gex	HG04075	865	9.235676300578035	113.26959	123.90059	2.2156625	2.6552427
SAS_only__greedy_maxmin__rep1	SAS_only	greedy_maxmin	atac	HG02597	887	25.44517474633596	114.44212	123.11001	2.261772	2.62129
SAS_only__greedy_maxmin__rep1	SAS_only	greedy_maxmin	gex	HG04075	831	8.960120336943442	114.44212	123.11001	2.261772	2.62129
SAS_only__greedy_maxmin__rep2	SAS_only	greedy_maxmin	atac	HG03738	938	25.85670575692964	113.37989	121.64693	2.21998	2.5607607
SAS_only__greedy_maxmin__rep2	SAS_only	greedy_maxmin	gex	HG03738	861	9.350243902439026	113.37989	121.64693	2.21998	2.5607607
SAS_only__greedy_maxmin__rep3	SAS_only	greedy_maxmin	atac	HG03684	907	25.44718853362734	113.19894	121.54801	2.2128997	2.5560174
SAS_only__greedy_maxmin__rep3	SAS_only	greedy_maxmin	gex	HG04075	860	8.815651162790697	113.19894	121.54801	2.2128997	2.5560174
SAS_only__random__rep1	SAS_only	random	atac	HG03850	932	24.735922746781117	104.3312	108.39236	1.879773	2.029949
SAS_only__random__rep1	SAS_only	random	gex	NA21116	835	8.988646706586827	104.3312	108.39236	1.879773	2.029949
SAS_only__random__rep2	SAS_only	random	atac	HG03705	937	23.604076840981858	100.48383	106.14516	1.7436903	1.9468399
SAS_only__random__rep2	SAS_only	random	gex	HG03806	881	8.138308740068105	100.48383	106.14516	1.7436903	1.9468399
SAS_only__random__rep3	SAS_only	random	atac	HG03705	944	24.107531779661016	103.06309	106.47886	1.8343545	1.9585029
SAS_only__random__rep3	SAS_only	random	gex	HG03705	887	8.3171702367531	103.06309	106.47886	1.8343545	1.9585029
all_3_major__ancestry_balanced__rep1	all_3_major	ancestry_balanced	atac	NA18970	932	26.864077253218884	99.46356	117.08857	1.7084607	2.3773599
all_3_major__ancestry_balanced__rep1	all_3_major	ancestry_balanced	gex	HG00149	874	9.490652173913043	99.46356	117.08857	1.7084607	2.3773599
all_3_major__greedy_maxmean__rep1	all_3_major	greedy_maxmean	atac	HG00126	915	26.91158469945355	109.15585	127.40916	2.057648	2.8152928
all_3_major__greedy_maxmean__rep1	all_3_major	greedy_maxmean	gex	HG00525	887	9.804408117249155	109.15585	127.40916	2.057648	2.8152928
all_3_major__greedy_maxmin__rep1	all_3_major	greedy_maxmin	atac	HG00358	927	27.410539374325783	113.63978	124.889465	2.2301688	2.7020056
all_3_major__greedy_maxmin__rep1	all_3_major	greedy_maxmin	gex	HG00096	873	10.126334478808706	113.63978	124.889465	2.2301688	2.7020056
all_3_major__greedy_maxmin__rep2	all_3_major	greedy_maxmin	atac	NA19042	939	27.219542066027692	115.41231	123.96844	2.3002825	2.6629581
all_3_major__greedy_maxmin__rep2	all_3_major	greedy_maxmin	gex	NA19042	860	10.460255813953488	115.41231	123.96844	2.3002825	2.6629581
all_3_major__greedy_maxmin__rep3	all_3_major	greedy_maxmin	atac	NA19042	945	27.739968253968254	115.16944	123.1001	2.2906117	2.6237695
all_3_major__greedy_maxmin__rep3	all_3_major	greedy_maxmin	gex	NA19042	844	11.135154028436018	115.16944	123.1001	2.2906117	2.6237695
all_3_major__random__rep1	all_3_major	random	atac	NA18873	885	26.700485875706214	101.61693	115.1162	1.7832371	2.3013866
all_3_major__random__rep1	all_3_major	random	gex	NA18873	812	10.106625615763546	101.61693	115.1162	1.7832371	2.3013866
all_3_major__random__rep3	all_3_major	random	atac	NA18855	898	27.442906458797328	90.6587	114.803894	1.4193711	2.2981856
all_3_major__random__rep3	all_3_major	random	gex	HG01781	856	10.45836448598131	90.6587	114.803894	1.4193711	2.2981856
all_5__ancestry_balanced__rep1	all_5	ancestry_balanced	atac	HG03846	904	25.770586283185843	108.20813	116.167114	2.0220728	2.3377388
all_5__ancestry_balanced__rep1	all_5	ancestry_balanced	gex	HG03846	808	9.589282178217822	108.20813	116.167114	2.0220728	2.3377388
all_5__ancestry_balanced__rep2	all_5	ancestry_balanced	atac	HG02061	900	26.048666666666666	102.38652	113.70307	1.8103502	2.2424178
all_5__ancestry_balanced__rep2	all_5	ancestry_balanced	gex	HG02061	825	9.936569696969697	102.38652	113.70307	1.8103502	2.2424178
all_5__greedy_maxmean__rep1	all_5	greedy_maxmean	atac	HG03837	945	28.79047619047619	116.47746	130.41243	2.3429382	2.946183
all_5__greedy_maxmean__rep1	all_5	greedy_maxmean	gex	HG04152	860	10.133081395348839	116.47746	130.41243	2.3429382	2.946183
all_5__greedy_maxmin__rep1	all_5	greedy_maxmin	atac	NA18986	915	28.468273224043717	118.321594	128.70529	2.4177144	2.8690188
all_5__greedy_maxmin__rep1	all_5	greedy_maxmin	gex	HG01102	894	10.024161073825503	118.321594	128.70529	2.4177144	2.8690188
all_5__random__rep1	all_5	random	atac	HG00531	945	23.8401164021164	100.12492	111.40792	1.7312565	2.1506064
all_5__random__rep1	all_5	random	gex	HG01029	851	8.777614571092831	100.12492	111.40792	1.7312565	2.1506064
